"uso_principal","quantidade"
"Irrigação",9636
"Dessedentação animal",4244
"Aquicultura",2702
"Abastecimento de água",1803
"Recreação",914
"Hidrelétrica",890
"Industrial",846
"Contenção de rejeitos de mineração",790
"Regularização de vazões",748
"Sem Informação",573
"Outros",445
"Sem informação",140
"IRRIGAÇÃO",112
"irrigação",79
"Contenção de resíduos industriais",55
"Proteção do meio ambiente",49
"Combate às secas",32
"Defesa contra inundações",22
"sem informação",6
"regularização de vazões",5
"Dessedentação Animal",1
NULL,0
